district,date,month,visitors,year
Adilabad,2016-04-01 00:00:00,April,0,2016
Adilabad,2017-04-01 00:00:00,April,0,2017
Adilabad,2018-04-01 00:00:00,April,0,2018
Adilabad,2019-04-01 00:00:00,April,0,2019
Adilabad,2016-08-01 00:00:00,August,2,2016
Adilabad,2017-08-01 00:00:00,August,0,2017
Adilabad,2018-08-01 00:00:00,August,3,2018
Adilabad,2019-08-01 00:00:00,August,2,2019
Adilabad,2016-12-01 00:00:00,December,0,2016
Adilabad,2017-12-01 00:00:00,December,0,2017
Adilabad,2018-12-01 00:00:00,December,0,2018
Adilabad,2019-12-01 00:00:00,December,0,2019
Adilabad,2016-02-01 00:00:00,February,0,2016
Adilabad,2017-02-01 00:00:00,February,0,2017
Adilabad,2018-02-01 00:00:00,February,0,2018
Adilabad,2019-02-01 00:00:00,February,2,2019
Adilabad,2016-01-01 00:00:00,January,2,2016
Adilabad,2017-01-01 00:00:00,January,5,2017
Adilabad,2018-01-01 00:00:00,January,0,2018
Adilabad,2019-01-01 00:00:00,January,0,2019
Adilabad,2016-07-01 00:00:00,July,4,2016
Adilabad,2017-07-01 00:00:00,July,0,2017
Adilabad,2018-07-01 00:00:00,July,2,2018
Adilabad,2019-07-01 00:00:00,July,0,2019
Adilabad,2016-06-01 00:00:00,June,0,2016
Adilabad,2017-06-01 00:00:00,June,3,2017
Adilabad,2018-06-01 00:00:00,June,0,2018
Adilabad,2019-06-01 00:00:00,June,0,2019
Adilabad,2016-03-01 00:00:00,March,2,2016
Adilabad,2017-03-01 00:00:00,March,0,2017
Adilabad,2018-03-01 00:00:00,March,0,2018
Adilabad,2019-03-01 00:00:00,March,0,2019
Adilabad,2016-05-01 00:00:00,May,0,2016
Adilabad,2017-05-01 00:00:00,May,0,2017
Adilabad,2018-05-01 00:00:00,May,0,2018
Adilabad,2019-05-01 00:00:00,May,0,2019
Adilabad,2016-11-01 00:00:00,November,0,2016
Adilabad,2017-11-01 00:00:00,November,0,2017
